borrower_id,age,income,home_ownership,employment_length,loan_purpose,loan_amount,debt_to_income,credit_history_length,historical_default,default
6722,26,50000,OWN,11,HOMEIMPROVEMENT,1800,0.04,4,N,0
6723,26,50000,MORTGAGE,10,PERSONAL,10000,0.2,3,N,0
6724,24,50000,MORTGAGE,8,HOMEIMPROVEMENT,9000,0.18,2,N,0
6725,25,50000,MORTGAGE,3,HOMEIMPROVEMENT,4800,0.1,2,Y,0
6726,24,60000,RENT,9,MEDICAL,6000,0.1,3,N,0
6727,25,50000,MORTGAGE,5,DEBTCONSOLIDATION,4000,0.08,4,N,0
6728,23,50000,OWN,3,PERSONAL,1500,0.03,2,N,0
6729,23,50000,MORTGAGE,2,EDUCATION,8000,0.16,2,N,0
6730,23,54000,RENT,6,HOMEIMPROVEMENT,6000,0.11,2,N,1
6731,24,60000,RENT,0,HOMEIMPROVEMENT,6000,0.1,2,N,0
6732,22,50000,MORTGAGE,4,EDUCATION,5000,0.1,2,N,0
6733,23,60495,RENT,8,MEDICAL,6000,0.1,3,N,0
6734,26,50000,OWN,5,MEDICAL,3250,0.06,2,N,0
6735,25,61000,RENT,9,EDUCATION,6000,0.1,4,N,0
6736,23,44000,MORTGAGE,7,PERSONAL,8500,0.19,3,N,1
6737,22,61104,RENT,6,EDUCATION,6000,0.1,4,N,0
6738,23,50000,MORTGAGE,2,PERSONAL,4000,0.08,3,N,0
6739,25,50000,OWN,9,VENTURE,12000,0.24,2,N,0
6740,21,62000,RENT,2,EDUCATION,6000,0.1,4,N,0
6741,25,62000,RENT,2,VENTURE,6000,0.1,3,N,0
6742,22,24000,RENT,6,DEBTCONSOLIDATION,7125,0.3,3,N,0
6743,22,50000,MORTGAGE,5,EDUCATION,15000,0.3,3,N,0
6744,23,25279,RENT,7,PERSONAL,7125,0.28,4,Y,0
6745,22,26124,RENT,2,EDUCATION,7125,0.27,2,N,0
6746,22,28000,RENT,6,DEBTCONSOLIDATION,7125,0.25,4,N,0
6747,24,70000,RENT,8,VENTURE,7125,0.1,2,N,0
6748,22,50000,MORTGAGE,6,DEBTCONSOLIDATION,10000,0.2,4,N,0
6749,26,15000,RENT,2,MEDICAL,7100,0.47,4,N,1
6750,23,25000,RENT,1,PERSONAL,7100,0.28,2,N,0
6751,25,50000,MORTGAGE,9,DEBTCONSOLIDATION,5000,0.1,2,N,0
6752,25,33000,RENT,1,VENTURE,7100,0.22,4,Y,1
6753,23,50000,MORTGAGE,4,EDUCATION,20000,0.4,4,N,0
6754,23,44400,RENT,2,DEBTCONSOLIDATION,7100,0.16,3,N,1
6755,25,95000,RENT,3,DEBTCONSOLIDATION,7100,0.07,2,N,0
6756,25,96000,RENT,9,HOMEIMPROVEMENT,7075,0.07,4,N,0
6757,22,50000,MORTGAGE,3,EDUCATION,2500,0.05,4,N,0
6758,22,30500,RENT,0,EDUCATION,7025,0.23,4,N,1
6759,22,10000,RENT,0,HOMEIMPROVEMENT,7000,0.7,2,N,1
6760,25,50000,MORTGAGE,9,DEBTCONSOLIDATION,18000,0.36,2,N,0
6761,22,50000,OWN,2,VENTURE,6000,0.12,2,N,0
6762,22,15090,RENT,0,EDUCATION,7000,0.46,4,N,1
6763,21,15600,RENT,0,EDUCATION,7000,0.45,2,N,1
6764,21,17000,RENT,0,DEBTCONSOLIDATION,7000,0.41,2,N,1
6765,22,18000,RENT,1,HOMEIMPROVEMENT,7000,0.39,2,N,1
6766,25,50000,MORTGAGE,4,PERSONAL,6000,0.12,3,N,0
6767,23,18000,RENT,1,PERSONAL,7000,0.39,4,N,1
6768,21,18000,RENT,5,HOMEIMPROVEMENT,7000,0.39,4,N,1
6769,22,50000,MORTGAGE,0,PERSONAL,6250,0.12,2,N,0
6770,23,18500,RENT,0,EDUCATION,7000,0.38,4,N,1
6771,21,19200,RENT,5,HOMEIMPROVEMENT,7000,0.36,2,N,1
6772,25,19200,RENT,1,VENTURE,7000,0.36,3,Y,1
6773,24,50000,OWN,0,VENTURE,21000,0.42,4,N,0
6774,23,21600,RENT,5,VENTURE,7000,0.32,2,N,1
6775,21,21600,RENT,6,EDUCATION,7000,0.32,3,Y,1
6776,26,22480,RENT,0,HOMEIMPROVEMENT,7000,0.31,4,N,1
6777,22,22500,RENT,2,DEBTCONSOLIDATION,7000,0.31,3,N,1
6778,24,22680,RENT,9,DEBTCONSOLIDATION,7000,0.31,3,N,1
6779,25,22776,RENT,0,HOMEIMPROVEMENT,7000,0.31,4,N,1
6780,25,22880,RENT,2,VENTURE,7000,0.31,3,N,1
6781,23,50000,MORTGAGE,3,VENTURE,7000,0.14,2,Y,0
6782,26,22884,RENT,2,MEDICAL,7000,0.31,4,N,1
6783,23,44000,MORTGAGE,0,MEDICAL,2000,0.05,3,Y,1
6784,23,50000,MORTGAGE,5,PERSONAL,9000,0.18,2,N,0
6785,26,50000,MORTGAGE,0,EDUCATION,10000,0.2,2,N,0
6786,25,23000,RENT,0,DEBTCONSOLIDATION,7000,0.3,4,Y,1
6787,22,50000,MORTGAGE,0,PERSONAL,2500,0.05,4,N,0
6788,23,50000,MORTGAGE,1,PERSONAL,9000,0.18,2,N,0
6789,25,23460,RENT,5,MEDICAL,7000,0.3,2,N,0
6790,22,24000,RENT,6,VENTURE,7000,0.29,2,N,0
6791,26,24000,RENT,2,PERSONAL,7000,0.29,3,N,0
6792,24,24000,RENT,0,PERSONAL,7000,0.29,2,N,1
6793,22,50000,MORTGAGE,5,PERSONAL,2000,0.04,3,N,0
6794,23,50000,OWN,3,VENTURE,5000,0.1,3,N,0
6795,22,50000,OWN,3,EDUCATION,6000,0.12,2,N,0
6796,26,50000,MORTGAGE,5,EDUCATION,5000,0.1,2,N,0
6797,24,44000,MORTGAGE,0,EDUCATION,15000,0.34,2,N,1
6798,25,24000,RENT,0,VENTURE,7000,0.29,2,Y,1
6799,22,24996,RENT,6,DEBTCONSOLIDATION,7000,0.28,2,N,0
6800,21,25000,RENT,1,EDUCATION,7000,0.28,2,N,0
6801,22,50000,MORTGAGE,6,VENTURE,10500,0.21,2,Y,0
6802,22,63000,RENT,6,PERSONAL,6000,0.1,2,N,0
6803,26,63000,RENT,3,HOMEIMPROVEMENT,6000,0.1,2,N,0
6804,23,63402,RENT,3,DEBTCONSOLIDATION,6000,0.09,4,N,0
6805,25,57500,RENT,4,VENTURE,6000,0.1,2,N,1
6806,24,58668,RENT,8,MEDICAL,6000,0.1,4,Y,1
6807,23,65000,RENT,7,EDUCATION,6000,0.09,3,N,0
6808,23,65000,RENT,2,EDUCATION,6000,0.09,2,N,0
6809,26,65000,RENT,7,EDUCATION,6000,0.09,2,Y,0
6810,25,59000,RENT,9,VENTURE,6000,0.1,3,N,1
6811,23,44000,MORTGAGE,8,PERSONAL,15000,0.34,3,N,1
6812,24,50000,MORTGAGE,3,HOMEIMPROVEMENT,12000,0.24,3,N,0
6813,22,50000,MORTGAGE,2,DEBTCONSOLIDATION,11000,0.22,4,N,0
6814,25,65000,RENT,8,EDUCATION,6000,0.09,3,Y,0
6815,24,65000,RENT,3,MEDICAL,6000,0.09,2,N,0
6816,24,59000,RENT,2,DEBTCONSOLIDATION,6000,0.1,4,N,1
6817,23,65000,RENT,0,EDUCATION,6000,0.09,3,N,0
6818,25,65004,RENT,0,DEBTCONSOLIDATION,6000,0.09,4,N,0
6819,21,65004,RENT,5,PERSONAL,6000,0.09,3,N,0
6820,22,50000,MORTGAGE,0,EDUCATION,20000,0.4,2,N,0
6821,22,65100,RENT,3,EDUCATION,6000,0.09,4,N,0
6822,22,66000,RENT,4,EDUCATION,6000,0.09,4,N,0
6823,25,44000,MORTGAGE,4,MEDICAL,5550,0.13,4,Y,1
6824,26,66400,RENT,6,MEDICAL,6000,0.09,4,N,0
6825,24,67644,RENT,3,DEBTCONSOLIDATION,6000,0.09,3,N,0
6826,24,50000,MORTGAGE,8,EDUCATION,3000,0.06,2,N,0
6827,26,62065,RENT,7,PERSONAL,6000,0.1,3,N,1
6828,26,44000,MORTGAGE,8,MEDICAL,12000,0.27,3,Y,1
6829,22,68250,RENT,4,EDUCATION,6000,0.09,3,Y,0
6830,24,50000,MORTGAGE,2,VENTURE,12500,0.25,2,N,0
6831,25,68496,RENT,1,VENTURE,6000,0.09,3,N,0
6832,22,69000,RENT,2,VENTURE,6000,0.09,4,N,0
6833,22,44000,MORTGAGE,4,MEDICAL,16000,0.36,3,Y,1
6834,23,69000,RENT,7,MEDICAL,6000,0.09,2,N,0
6835,26,63400,RENT,2,PERSONAL,6000,0.09,2,Y,1
6836,22,69500,RENT,6,DEBTCONSOLIDATION,6000,0.09,4,N,0
6837,22,50000,MORTGAGE,1,PERSONAL,9800,0.2,3,Y,0
6838,22,69528,RENT,6,PERSONAL,6000,0.09,3,Y,0
6839,26,69780,RENT,3,PERSONAL,6000,0.09,3,N,0
6840,24,69996,RENT,0,HOMEIMPROVEMENT,6000,0.09,2,N,0
6841,26,70000,RENT,3,PERSONAL,6000,0.09,4,N,0
6842,21,44000,MORTGAGE,2,DEBTCONSOLIDATION,15000,0.34,2,N,1
6843,23,70000,RENT,4,EDUCATION,6000,0.09,2,N,0
6844,23,50000,MORTGAGE,0,PERSONAL,6500,0.13,4,N,0
6845,22,50000,MORTGAGE,7,EDUCATION,6400,0.13,2,N,0
6846,26,50000,MORTGAGE,10,HOMEIMPROVEMENT,15000,0.3,3,N,0
6847,25,70000,RENT,9,EDUCATION,6000,0.09,4,N,0
6848,26,70000,RENT,4,MEDICAL,6000,0.09,4,N,0
6849,24,50000,MORTGAGE,4,HOMEIMPROVEMENT,6000,0.12,3,N,0
6850,24,50000,MORTGAGE,1,PERSONAL,11400,0.23,2,N,0
6851,23,70000,RENT,4,EDUCATION,6000,0.09,4,N,0
6852,22,70000,RENT,0,EDUCATION,6000,0.09,2,N,0
6853,22,50000,MORTGAGE,7,EDUCATION,4000,0.08,4,N,0
6854,23,50000,MORTGAGE,7,VENTURE,8600,0.17,3,N,0
6855,26,50000,OWN,4,HOMEIMPROVEMENT,10000,0.2,2,Y,0
6856,23,50000,OWN,0,MEDICAL,10200,0.2,4,N,0
6857,24,50000,MORTGAGE,7,VENTURE,1000,0.02,3,N,0
6858,22,71000,RENT,4,MEDICAL,6000,0.08,4,N,0
6859,23,65074,RENT,0,EDUCATION,6000,0.09,3,Y,1
6860,24,50000,OTHER,0,HOMEIMPROVEMENT,5000,0.1,3,N,0
6861,25,50000,MORTGAGE,5,PERSONAL,7500,0.15,4,Y,0
6862,24,44000,MORTGAGE,6,EDUCATION,7500,0.17,2,N,1
6863,26,66000,RENT,10,VENTURE,6000,0.09,2,Y,1
6864,23,50000,OWN,0,VENTURE,14000,0.28,2,N,0
6865,21,72000,RENT,3,EDUCATION,6000,0.08,4,N,0
6866,24,72000,RENT,3,EDUCATION,6000,0.08,3,N,0
6867,25,44000,MORTGAGE,7,PERSONAL,7500,0.17,2,N,1
6868,21,44000,MORTGAGE,5,VENTURE,7500,0.17,4,N,1
6869,25,72000,RENT,1,VENTURE,6000,0.08,3,N,0
6870,22,50000,OWN,4,VENTURE,16000,0.32,4,N,0
6871,23,73000,RENT,4,MEDICAL,6000,0.08,4,N,0
6872,26,50000,MORTGAGE,10,MEDICAL,13000,0.26,3,Y,0
6873,23,73500,RENT,7,PERSONAL,6000,0.08,4,Y,0
6874,22,50000,OWN,6,MEDICAL,15000,0.3,2,N,0
6875,23,57800,RENT,2,MEDICAL,6000,0.1,4,N,1
6876,24,50000,MORTGAGE,7,PERSONAL,9000,0.18,3,Y,0
6877,21,44000,MORTGAGE,5,MEDICAL,6000,0.14,3,N,1
6878,25,50000,MORTGAGE,9,EDUCATION,6400,0.13,3,N,0
6879,26,50000,MORTGAGE,2,PERSONAL,20000,0.4,3,N,0
6880,23,74000,RENT,7,EDUCATION,6000,0.08,3,N,0
6881,25,74500,RENT,3,MEDICAL,6000,0.08,4,N,0
6882,26,74970,RENT,5,MEDICAL,6000,0.08,2,N,0
6883,23,75000,RENT,1,VENTURE,6000,0.08,3,N,0
6884,24,50000,MORTGAGE,0,HOMEIMPROVEMENT,5500,0.11,3,N,0
6885,22,50004,MORTGAGE,0,PERSONAL,4950,0.1,2,N,0
6886,23,75000,RENT,1,PERSONAL,6000,0.08,4,N,0
6887,23,75000,RENT,1,VENTURE,6000,0.08,4,N,0
6888,23,50004,MORTGAGE,7,EDUCATION,2700,0.05,2,N,0
6889,23,69000,RENT,7,DEBTCONSOLIDATION,6000,0.09,2,Y,1
6890,22,50004,MORTGAGE,4,DEBTCONSOLIDATION,6250,0.12,4,N,0
6891,25,50004,OWN,1,VENTURE,10000,0.2,3,N,0
6892,23,75000,RENT,4,PERSONAL,6000,0.08,2,Y,0
6893,23,75000,RENT,0,MEDICAL,6000,0.08,2,N,0
6894,24,50004,OWN,2,MEDICAL,10000,0.2,2,N,0
6895,22,50004,MORTGAGE,5,EDUCATION,14000,0.28,4,N,0
6896,23,78000,RENT,0,MEDICAL,6000,0.08,2,N,0
6897,22,50004,MORTGAGE,6,VENTURE,7200,0.14,2,Y,0
6898,25,78000,RENT,1,PERSONAL,6000,0.08,4,N,0
6899,23,50004,MORTGAGE,7,PERSONAL,16000,0.32,2,N,0
6900,22,50004,OWN,0,VENTURE,5000,0.1,4,Y,0
6901,22,80000,RENT,1,EDUCATION,6000,0.08,2,N,0
6902,26,50004,MORTGAGE,10,PERSONAL,5000,0.1,2,N,0
6903,22,44004,MORTGAGE,3,VENTURE,9000,0.2,3,Y,1
6904,25,80000,RENT,5,VENTURE,6000,0.08,4,N,0
6905,24,80490,RENT,8,HOMEIMPROVEMENT,6000,0.07,3,N,0
6906,22,50004,MORTGAGE,0,EDUCATION,12000,0.24,2,N,0
6907,22,44004,MORTGAGE,0,DEBTCONSOLIDATION,11000,0.25,4,N,1
6908,23,80607,RENT,2,MEDICAL,6000,0.07,2,N,0
6909,25,82000,RENT,5,MEDICAL,6000,0.07,3,N,0
6910,23,50004,MORTGAGE,7,PERSONAL,6000,0.12,3,N,0
6911,22,50004,MORTGAGE,6,EDUCATION,2500,0.05,2,N,0
6912,26,50004,MORTGAGE,10,EDUCATION,5000,0.1,2,N,0
6913,25,82000,RENT,0,PERSONAL,6000,0.07,2,N,0
6914,26,82000,RENT,8,HOMEIMPROVEMENT,6000,0.07,3,N,0
6915,23,50004,MORTGAGE,8,EDUCATION,2000,0.04,2,Y,0
6916,26,50004,OWN,2,HOMEIMPROVEMENT,11000,0.22,4,Y,0
6917,23,83954,RENT,7,EDUCATION,6000,0.07,2,N,0
6918,23,84000,RENT,5,VENTURE,6000,0.07,3,N,0
6919,21,50031,MORTGAGE,5,PERSONAL,2000,0.04,2,N,0
6920,25,84000,RENT,2,VENTURE,6000,0.07,2,N,0
6921,23,50052,OWN,8,PERSONAL,15000,0.3,4,N,0
6922,24,84996,RENT,1,MEDICAL,6000,0.07,3,N,0
6923,24,50112,OWN,0,PERSONAL,1000,0.02,2,N,0
6924,23,50129,MORTGAGE,7,VENTURE,11400,0.23,2,N,0
6925,25,85000,RENT,4,MEDICAL,6000,0.07,3,N,0
6926,23,50205,MORTGAGE,7,DEBTCONSOLIDATION,5300,0.11,4,N,0
6927,25,73000,RENT,2,DEBTCONSOLIDATION,6000,0.08,4,N,1
6928,21,86000,RENT,5,EDUCATION,6000,0.07,4,N,0
6929,25,50280,MORTGAGE,0,HOMEIMPROVEMENT,10000,0.2,2,N,0
6930,22,50285,MORTGAGE,6,DEBTCONSOLIDATION,7000,0.14,4,Y,0
6931,25,50300,MORTGAGE,3,HOMEIMPROVEMENT,1000,0.02,3,Y,0
6932,22,86000,RENT,6,MEDICAL,6000,0.07,3,N,0
6933,22,50364,MORTGAGE,6,EDUCATION,6000,0.12,3,N,0
6934,23,50400,MORTGAGE,7,EDUCATION,8375,0.17,2,N,0
6935,26,50400,MORTGAGE,3,HOMEIMPROVEMENT,24000,0.48,3,N,0
6936,22,50400,MORTGAGE,0,VENTURE,12000,0.24,3,N,0
6937,25,50400,MORTGAGE,4,VENTURE,3000,0.06,3,N,0
6938,22,75000,RENT,6,EDUCATION,6000,0.08,2,N,1
6939,24,89772,RENT,8,MEDICAL,6000,0.07,3,Y,0
6940,25,90000,RENT,9,HOMEIMPROVEMENT,6000,0.07,4,N,0
6941,26,78000,RENT,5,PERSONAL,6000,0.08,2,N,1
6942,25,44400,MORTGAGE,9,VENTURE,6000,0.14,4,N,1
6943,23,50400,OWN,7,EDUCATION,7000,0.14,2,N,0
6944,23,50400,MORTGAGE,7,EDUCATION,2500,0.05,4,N,0
6945,23,50400,MORTGAGE,4,VENTURE,11200,0.22,3,N,0
6946,25,90000,RENT,4,HOMEIMPROVEMENT,6000,0.07,3,N,0
6947,23,90000,RENT,3,PERSONAL,6000,0.07,3,N,0
6948,24,79650,RENT,4,PERSONAL,6000,0.08,3,Y,1
6949,23,92000,RENT,4,VENTURE,6000,0.07,3,N,0
6950,26,81000,RENT,10,PERSONAL,6000,0.07,2,N,1
6951,25,50400,MORTGAGE,5,HOMEIMPROVEMENT,12000,0.24,4,N,0
6952,22,50400,MORTGAGE,6,EDUCATION,12000,0.24,2,N,0
6953,25,50400,MORTGAGE,0,HOMEIMPROVEMENT,6000,0.12,4,N,0
6954,26,95000,RENT,0,MEDICAL,6000,0.06,2,N,0
6955,24,95000,RENT,3,HOMEIMPROVEMENT,6000,0.06,4,N,0
6956,25,50400,OWN,0,HOMEIMPROVEMENT,6000,0.12,2,N,0
6957,26,50400,OWN,0,VENTURE,6725,0.13,4,N,0
6958,25,96000,RENT,0,HOMEIMPROVEMENT,6000,0.06,4,N,0
6959,24,96500,RENT,0,DEBTCONSOLIDATION,6000,0.06,2,N,0
6960,26,98000,RENT,8,DEBTCONSOLIDATION,6000,0.06,3,N,0
6961,25,100000,RENT,0,PERSONAL,6000,0.06,4,N,0
6962,21,50460,OWN,4,VENTURE,6000,0.12,3,N,0
6963,24,50496,MORTGAGE,3,PERSONAL,3000,0.06,3,N,0
6964,22,100000,RENT,6,EDUCATION,6000,0.06,4,N,0
6965,22,100000,RENT,3,EDUCATION,6000,0.06,2,Y,0
6966,25,100000,RENT,9,PERSONAL,6000,0.06,3,Y,0
6967,26,92000,RENT,0,VENTURE,6000,0.07,3,N,1
6968,22,105000,RENT,4,VENTURE,6000,0.06,2,N,0
6969,22,50500,OWN,6,VENTURE,6000,0.12,2,N,0
6970,22,93000,RENT,6,HOMEIMPROVEMENT,6000,0.06,4,N,1
6971,22,105500,RENT,6,EDUCATION,6000,0.06,4,N,0
6972,23,95000,RENT,7,DEBTCONSOLIDATION,6000,0.06,4,N,1
6973,23,50508,OWN,8,PERSONAL,7500,0.15,4,N,0
6974,24,110000,RENT,0,PERSONAL,6000,0.05,4,N,0
6975,25,50600,OWN,3,PERSONAL,3000,0.06,2,N,0
6976,26,50648,MORTGAGE,8,PERSONAL,8000,0.16,4,N,0
6977,24,50700,MORTGAGE,8,EDUCATION,4500,0.09,4,N,0
6978,24,120000,RENT,0,PERSONAL,6000,0.05,3,N,0
6979,26,120000,RENT,10,VENTURE,6000,0.05,2,N,0
6980,26,125000,RENT,3,EDUCATION,6000,0.05,2,N,0
6981,26,140000,RENT,2,DEBTCONSOLIDATION,6000,0.04,4,N,0
6982,25,150000,RENT,3,HOMEIMPROVEMENT,6000,0.04,2,N,0
6983,22,50750,MORTGAGE,2,MEDICAL,10000,0.2,4,N,0
6984,26,38000,RENT,0,DEBTCONSOLIDATION,6025,0.16,3,N,0
6985,23,42000,RENT,7,EDUCATION,6025,0.14,4,N,0
6986,22,50900,MORTGAGE,6,DEBTCONSOLIDATION,22000,0.43,3,Y,0
6987,22,60000,RENT,0,VENTURE,6025,0.1,3,N,0
6988,25,50000,RENT,9,HOMEIMPROVEMENT,6075,0.12,2,N,0
6989,25,50988,OWN,9,HOMEIMPROVEMENT,4200,0.08,3,N,0
6990,22,51000,OWN,0,VENTURE,16000,0.31,3,N,0
6991,25,19200,RENT,3,DEBTCONSOLIDATION,6150,0.32,3,N,1
6992,24,35713,RENT,1,MEDICAL,6150,0.17,3,Y,0
6993,24,45000,MORTGAGE,0,VENTURE,10625,0.24,2,Y,1
6994,24,77385,RENT,5,DEBTCONSOLIDATION,6150,0.08,4,N,0
6995,23,51000,MORTGAGE,5,DEBTCONSOLIDATION,4000,0.08,2,N,0
6996,23,51000,MORTGAGE,7,VENTURE,10000,0.2,3,N,0
6997,23,19200,RENT,1,MEDICAL,6200,0.32,3,N,1
6998,26,51000,MORTGAGE,11,HOMEIMPROVEMENT,9000,0.18,3,N,0
6999,26,20000,RENT,9,EDUCATION,6200,0.31,4,N,1
7000,23,51000,OWN,7,PERSONAL,6000,0.12,4,N,0
7001,24,26000,RENT,2,HOMEIMPROVEMENT,6200,0.24,4,N,1
7002,22,51000,MORTGAGE,3,DEBTCONSOLIDATION,10000,0.2,3,N,0
7003,22,29004,RENT,6,DEBTCONSOLIDATION,6200,0.21,4,Y,0
7004,22,30000,RENT,3,EDUCATION,6200,0.21,3,Y,0
7005,21,51000,MORTGAGE,5,EDUCATION,13000,0.25,3,N,0
7006,26,39996,RENT,2,DEBTCONSOLIDATION,6200,0.16,2,N,0
7007,22,40000,RENT,2,EDUCATION,6200,0.16,3,N,0
7008,23,42500,RENT,1,PERSONAL,6200,0.15,2,N,0
7009,22,45000,RENT,7,EDUCATION,6200,0.14,3,N,0
7010,23,51000,MORTGAGE,2,PERSONAL,8000,0.16,3,N,0
7011,26,51000,MORTGAGE,2,MEDICAL,4000,0.08,4,N,0
7012,22,46200,RENT,5,EDUCATION,6200,0.13,3,N,0
7013,25,50606,RENT,3,MEDICAL,6200,0.12,4,N,0
7014,26,51000,MORTGAGE,10,MEDICAL,15825,0.31,3,N,0
7015,25,51000,MORTGAGE,6,EDUCATION,3000,0.06,2,N,0
7016,23,51000,MORTGAGE,2,DEBTCONSOLIDATION,2400,0.05,3,N,0
7017,22,46000,RENT,1,DEBTCONSOLIDATION,6200,0.13,4,N,1
7018,23,56000,RENT,4,PERSONAL,6200,0.11,2,N,0
7019,23,60000,RENT,1,DEBTCONSOLIDATION,6200,0.1,3,N,0
7020,25,51000,MORTGAGE,0,PERSONAL,4200,0.08,2,N,0
7021,26,51000,MORTGAGE,3,DEBTCONSOLIDATION,12000,0.24,4,N,0
7022,23,45000,MORTGAGE,6,MEDICAL,5000,0.11,2,N,1
7023,23,65000,RENT,8,PERSONAL,6200,0.1,2,N,0
7024,25,51000,MORTGAGE,6,PERSONAL,16750,0.33,4,N,0
7025,24,65000,RENT,0,VENTURE,6200,0.1,2,N,0
7026,26,69000,RENT,7,EDUCATION,6200,0.09,3,N,0
7027,22,51000,MORTGAGE,6,MEDICAL,6000,0.12,2,N,0
7028,26,51000,MORTGAGE,2,DEBTCONSOLIDATION,12000,0.24,4,N,0
7029,22,72000,RENT,4,PERSONAL,6200,0.09,2,N,0
7030,25,51000,MORTGAGE,7,DEBTCONSOLIDATION,7600,0.15,3,N,0
7031,23,45000,RENT,0,VENTURE,6225,0.14,4,Y,0
7032,21,63250,RENT,2,PERSONAL,6225,0.1,4,N,0
7033,22,51000,MORTGAGE,6,PERSONAL,7000,0.14,3,N,0
7034,23,51000,MORTGAGE,7,MEDICAL,10000,0.2,2,N,0
7035,23,14898,RENT,0,VENTURE,6250,0.42,2,N,1
7036,22,16000,RENT,0,VENTURE,6250,0.39,2,N,1
7037,24,51000,OWN,8,HOMEIMPROVEMENT,9000,0.18,3,N,0
7038,22,19200,RENT,2,DEBTCONSOLIDATION,6250,0.33,3,N,1
7039,25,19200,RENT,4,EDUCATION,6250,0.33,2,Y,1
7040,24,51000,OWN,6,VENTURE,6000,0.12,2,N,0
7041,23,19250,RENT,1,HOMEIMPROVEMENT,6250,0.32,4,Y,1
7042,22,51000,MORTGAGE,3,VENTURE,13000,0.25,3,Y,0
7043,22,20000,RENT,3,EDUCATION,6250,0.31,3,Y,1
7044,21,21000,RENT,2,EDUCATION,6250,0.3,3,N,0
7045,21,23000,RENT,5,PERSONAL,6250,0.27,3,Y,0
7046,22,23000,RENT,6,MEDICAL,6250,0.27,2,N,0
7047,25,51000,MORTGAGE,5,DEBTCONSOLIDATION,7000,0.14,4,N,0
7048,23,51000,MORTGAGE,3,PERSONAL,16000,0.31,3,Y,0
7049,25,24000,RENT,3,DEBTCONSOLIDATION,6250,0.26,3,Y,0
7050,23,24000,RENT,0,EDUCATION,6250,0.26,3,N,0
7051,24,26000,RENT,8,MEDICAL,6250,0.24,4,N,0
7052,21,51000,MORTGAGE,5,PERSONAL,6000,0.12,2,N,0
7053,22,27000,RENT,3,MEDICAL,6250,0.23,4,Y,1
7054,22,55000,RENT,3,VENTURE,7000,0.13,4,N,0
7055,24,51000,MORTGAGE,5,HOMEIMPROVEMENT,3600,0.07,2,N,0
7056,24,55000,RENT,1,MEDICAL,7000,0.13,4,N,0
7057,22,51000,MORTGAGE,3,EDUCATION,15200,0.3,4,N,0
7058,24,51000,OWN,9,VENTURE,10000,0.2,2,Y,0
7059,26,51000,MORTGAGE,3,HOMEIMPROVEMENT,10000,0.2,3,N,0
7060,22,56000,RENT,0,DEBTCONSOLIDATION,7000,0.12,2,N,0
7061,21,45000,MORTGAGE,3,DEBTCONSOLIDATION,8000,0.18,3,Y,1
7062,24,56000,RENT,7,VENTURE,7000,0.12,3,N,0
7063,24,51000,MORTGAGE,4,HOMEIMPROVEMENT,8500,0.17,3,N,0
7064,26,56000,RENT,4,PERSONAL,7000,0.12,3,N,0
7065,25,50000,RENT,2,MEDICAL,7000,0.14,3,N,1
7066,25,56004,RENT,3,MEDICAL,7000,0.12,4,N,0
7067,23,57960,RENT,0,PERSONAL,7000,0.12,4,Y,0
7068,23,52000,RENT,3,MEDICAL,7000,0.13,4,N,1
7069,24,51000,MORTGAGE,5,EDUCATION,8000,0.16,3,N,0
7070,26,60000,RENT,9,DEBTCONSOLIDATION,7000,0.12,2,N,0
7071,24,51024,MORTGAGE,8,HOMEIMPROVEMENT,2000,0.04,4,Y,0
7072,23,51036,MORTGAGE,7,EDUCATION,15000,0.29,4,N,0
7073,22,60000,RENT,1,PERSONAL,7000,0.12,2,N,0
7074,23,60000,RENT,4,DEBTCONSOLIDATION,7000,0.12,3,N,0
7075,24,51072,MORTGAGE,8,EDUCATION,13000,0.25,2,N,0
7076,25,54000,RENT,1,DEBTCONSOLIDATION,7000,0.13,3,N,1
7077,22,51168,MORTGAGE,6,VENTURE,15500,0.3,3,N,0
7078,24,54000,RENT,0,DEBTCONSOLIDATION,7000,0.13,3,Y,1
7079,25,60000,RENT,3,VENTURE,7000,0.12,4,N,0
7080,25,60000,RENT,3,HOMEIMPROVEMENT,7000,0.12,2,N,0
7081,23,60000,RENT,4,DEBTCONSOLIDATION,7000,0.12,3,N,0
7082,26,60000,RENT,3,MEDICAL,7000,0.12,2,N,0
7083,25,51300,MORTGAGE,7,VENTURE,11000,0.21,3,N,0
7084,25,60000,RENT,0,MEDICAL,7000,0.12,2,N,0
7085,24,60000,RENT,5,EDUCATION,7000,0.12,4,N,0
7086,22,51300,OWN,6,PERSONAL,11200,0.22,3,Y,0
7087,25,60000,RENT,9,MEDICAL,7000,0.12,4,N,0
7088,23,51319,MORTGAGE,2,VENTURE,20000,0.39,3,N,0
7089,22,60000,RENT,3,EDUCATION,7000,0.12,2,N,0
7090,22,60000,RENT,5,MEDICAL,7000,0.12,4,N,0
7091,22,54000,RENT,6,MEDICAL,7000,0.13,4,Y,1
7092,24,60000,RENT,0,VENTURE,7000,0.12,3,N,0
7093,22,54000,RENT,2,PERSONAL,7000,0.13,3,N,1
7094,24,60000,RENT,0,EDUCATION,7000,0.12,3,N,0
7095,24,60140,RENT,2,VENTURE,7000,0.12,3,N,0
